,time,open,high,low,close,volume
258,1672512300000,8.12e-06,8.13e-06,8.12e-06,8.13e-06,614514790.0
259,1672512600000,8.13e-06,8.13e-06,8.12e-06,8.12e-06,1863504252.0
260,1672512900000,8.12e-06,8.13e-06,8.11e-06,8.11e-06,4113206617.0
261,1672513200000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,745372457.0
262,1672513500000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,2433776451.0
263,1672513800000,8.11e-06,8.12e-06,8.11e-06,8.12e-06,196978385.0
264,1672514100000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,119780629.0
265,1672514400000,8.12e-06,8.12e-06,8.1e-06,8.11e-06,1597595047.0
266,1672514700000,8.1e-06,8.11e-06,8.1e-06,8.1e-06,1405478864.0
267,1672515000000,8.1e-06,8.12e-06,8.1e-06,8.12e-06,6715604250.0
268,1672515300000,8.12e-06,8.13e-06,8.11e-06,8.13e-06,7754531846.0
269,1672515600000,8.13e-06,8.13e-06,8.12e-06,8.13e-06,955200297.0
270,1672515900000,8.13e-06,8.13e-06,8.12e-06,8.13e-06,802271336.0
271,1672516200000,8.12e-06,8.13e-06,8.12e-06,8.13e-06,473701420.0
272,1672516500000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,2959119844.0
273,1672516800000,8.12e-06,8.12e-06,8.11e-06,8.11e-06,1607956108.0
274,1672517100000,8.12e-06,8.12e-06,8.11e-06,8.11e-06,880320420.0
275,1672517400000,8.11e-06,8.12e-06,8.11e-06,8.12e-06,934277104.0
276,1672517700000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,713187493.0
277,1672518000000,8.11e-06,8.12e-06,8.11e-06,8.12e-06,5516117126.0
278,1672518300000,8.11e-06,8.12e-06,8.11e-06,8.12e-06,1044054481.0
279,1672518600000,8.11e-06,8.12e-06,8.11e-06,8.12e-06,1857539047.0
280,1672518900000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,357208997.0
281,1672519200000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,2933818867.0
282,1672519500000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,806277246.0
283,1672519800000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,394227253.0
284,1672520100000,8.12e-06,8.12e-06,8.11e-06,8.11e-06,487586097.0
285,1672520400000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,220072558.0
286,1672520700000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,435490813.0
287,1672521000000,8.11e-06,8.14e-06,8.11e-06,8.14e-06,3850602699.0
288,1672521300000,8.14e-06,8.14e-06,8.12e-06,8.13e-06,1678649211.0
289,1672521600000,8.13e-06,8.13e-06,8.12e-06,8.12e-06,344079976.0
290,1672521900000,8.12e-06,8.13e-06,8.12e-06,8.12e-06,1255063144.0
291,1672522200000,8.12e-06,8.13e-06,8.12e-06,8.12e-06,2285180420.0
292,1672522500000,8.12e-06,8.12e-06,8.11e-06,8.11e-06,3947663209.0
293,1672522800000,8.12e-06,8.12e-06,8.11e-06,8.11e-06,1727975051.0
294,1672523100000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,347418781.0
295,1672523400000,8.12e-06,8.12e-06,8.1e-06,8.1e-06,1468123617.0
296,1672523700000,8.11e-06,8.12e-06,8.1e-06,8.11e-06,3878508336.0
297,1672524000000,8.11e-06,8.11e-06,8.1e-06,8.1e-06,1418357807.0
298,1672524300000,8.1e-06,8.12e-06,8.1e-06,8.12e-06,8998615275.0
299,1672524600000,8.12e-06,8.12e-06,8.11e-06,8.11e-06,612252424.0
300,1672524900000,8.11e-06,8.12e-06,8.09e-06,8.1e-06,5090666237.0
301,1672525200000,8.1e-06,8.1e-06,8.09e-06,8.1e-06,554059216.0
302,1672525500000,8.1e-06,8.1e-06,8.09e-06,8.1e-06,413225433.0
303,1672525800000,8.09e-06,8.11e-06,8.09e-06,8.1e-06,4393666624.0
304,1672526100000,8.1e-06,8.11e-06,8.09e-06,8.1e-06,928486142.0
305,1672526400000,8.1e-06,8.1e-06,8.09e-06,8.1e-06,5007290453.0
306,1672526700000,8.1e-06,8.1e-06,8.09e-06,8.1e-06,850743752.0
307,1672527000000,8.09e-06,8.1e-06,8.08e-06,8.09e-06,3778851010.0
308,1672527300000,8.08e-06,8.09e-06,8.08e-06,8.09e-06,3170348233.0
309,1672527600000,8.09e-06,8.09e-06,8.08e-06,8.09e-06,3689741511.0
310,1672527900000,8.09e-06,8.09e-06,8.06e-06,8.07e-06,3558402222.0
311,1672528200000,8.06e-06,8.08e-06,8.06e-06,8.08e-06,2510814392.0
312,1672528500000,8.08e-06,8.09e-06,8.07e-06,8.08e-06,4947012447.0
313,1672528800000,8.08e-06,8.09e-06,8.08e-06,8.08e-06,1728985166.0
314,1672529100000,8.09e-06,8.09e-06,8.08e-06,8.09e-06,72334842.0
315,1672529400000,8.09e-06,8.09e-06,8.08e-06,8.09e-06,922868343.0
316,1672529700000,8.09e-06,8.1e-06,8.09e-06,8.1e-06,2226169612.0
317,1672530000000,8.1e-06,8.1e-06,8.09e-06,8.1e-06,271718480.0
318,1672530300000,8.09e-06,8.1e-06,8.08e-06,8.08e-06,3111337783.0
319,1672530600000,8.09e-06,8.09e-06,8.08e-06,8.09e-06,492397229.0
320,1672530900000,8.08e-06,8.09e-06,8.07e-06,8.08e-06,4383528528.0
321,1672531200000,8.08e-06,8.1e-06,8.08e-06,8.1e-06,6734418265.0
322,1672531500000,8.1e-06,8.1e-06,8.09e-06,8.1e-06,205492323.0
323,1672531800000,8.1e-06,8.1e-06,8.08e-06,8.08e-06,2417761087.0
324,1672532100000,8.09e-06,8.09e-06,8.08e-06,8.09e-06,5742654654.0
325,1672532400000,8.09e-06,8.1e-06,8.08e-06,8.09e-06,2516292922.0
326,1672532700000,8.09e-06,8.1e-06,8.09e-06,8.1e-06,3511521516.0
327,1672533000000,8.1e-06,8.1e-06,8.08e-06,8.08e-06,4179946052.0
328,1672533300000,8.08e-06,8.09e-06,8.07e-06,8.07e-06,6135352595.0
329,1672533600000,8.07e-06,8.08e-06,8.06e-06,8.06e-06,4179421790.0
330,1672533900000,8.06e-06,8.08e-06,8.06e-06,8.06e-06,4970515437.0
331,1672534200000,8.07e-06,8.08e-06,8.06e-06,8.07e-06,2883882080.0
332,1672534500000,8.07e-06,8.07e-06,8.06e-06,8.07e-06,911565736.0
333,1672534800000,8.06e-06,8.07e-06,8.06e-06,8.06e-06,4318336705.0
334,1672535100000,8.05e-06,8.06e-06,8.05e-06,8.05e-06,411695660.0
335,1672535400000,8.06e-06,8.07e-06,8.06e-06,8.06e-06,7842210551.0
336,1672535700000,8.07e-06,8.07e-06,8.05e-06,8.06e-06,7660485189.0
337,1672536000000,8.06e-06,8.06e-06,8.02e-06,8.04e-06,26326093825.0
338,1672536300000,8.04e-06,8.05e-06,8.03e-06,8.05e-06,3429999742.0
339,1672536600000,8.05e-06,8.05e-06,8.04e-06,8.05e-06,760936930.0
340,1672536900000,8.05e-06,8.06e-06,8.04e-06,8.06e-06,4616099316.0
341,1672537200000,8.06e-06,8.07e-06,8.05e-06,8.07e-06,4169850179.0
342,1672537500000,8.07e-06,8.07e-06,8.06e-06,8.07e-06,1278289831.0
343,1672537800000,8.07e-06,8.07e-06,8.06e-06,8.06e-06,484032482.0
344,1672538100000,8.07e-06,8.08e-06,8.06e-06,8.08e-06,2258693450.0
345,1672538400000,8.07e-06,8.08e-06,8.07e-06,8.07e-06,258801746.0
346,1672538700000,8.08e-06,8.08e-06,8.07e-06,8.07e-06,721366204.0
347,1672539000000,8.08e-06,8.11e-06,8.07e-06,8.1e-06,4079769081.0
348,1672539300000,8.1e-06,8.11e-06,8.09e-06,8.09e-06,3511564397.0
349,1672539600000,8.09e-06,8.1e-06,8.09e-06,8.1e-06,195492648.0
350,1672539900000,8.1e-06,8.1e-06,8.09e-06,8.09e-06,311268049.0
